page	exists	redirect
links	True	Links
linode	True	Linode
lipstick lesbian	True	Lipstick lesbian
List of %2Achan boards	False	
List of Terms Referring to a Woman%27s Period	False	
literally	True	Literally
LittleCloud‎	True	LittleCloud
LIVE ADMIN	False	
live video	True	Live video
liver	True	Liver
ljdrama.org	True	Ljdrama.org
lmaonade	True	Lmaonade
lmaonaise	True	Lmaonaise
lmaowl	True	Lmaowl
logic	True	Logic
lohere	True	Lohere
lol	True	Lol
lolcano	True	Lolcano
lolerbation	True	Lolerbation
lolergasm	True	Lolergasm
lolita complex	True	Lolita complex
lolitrolu	True	Lolitrolu
lollercaust	True	Lollercaust
lollercoaster	True	Lollercoaster
lollerskates	True	Lollerskates
lolrus	True	Lolrus
lols-royce	True	Lols-royce
lonely	True	Lonely
looting	True	Looting
loser	True	Loser
love	True	Love
lovedr101	True	Lovedr101
lovesboys80	True	Lovesboys80
low self-esteem	True	Low self-esteem
lucky	True	Lucky
lucky225	True	Lucky225
lulcow	True	Lulcow
lulz	True	Lulz
lulzkiller	True	Lulzkiller
lunchmeats	True	Lunchmeats
lured	True	Lured
lynch mob	True	Lynch mob
M%C3%A4mmi	False	
m00t's GamerGate Sellout	True	M00t's GamerGate Sellout
macro	True	Macro
MACROCOSM	False	
magic	True	Magic
magical girl	True	Magical girl
magick	True	Magick
Mai-chan's Daily Life	False	
mailing list	True	Mailing list
mainstream	True	Mainstream
mall	True	Mall
manboobs	True	Manboobs
manchild	True	Manchild
mangina	True	Mangina
manhood	True	Manhood
mani	True	Mani
manlet	True	Manlet
manliness	True	Manliness
mantrain	True	Mantrain
Mao Xinyu	False	
map	True	Map
marital aid	True	Marital aid
marquee	True	Marquee
marriage	True	Marriage
marxist thug	True	Marxist thug
masturbator	True	Masturbator
maturity	True	Maturity
maxwell	True	Maxwell
McDonald%27s	False	
meatpuppet	True	Meatpuppet
meh	True	Meh
melting pot	True	Melting pot
meme	True	Meme
memebot	True	Memebot
memorial page tourist	True	Memorial page tourist
men	True	Men
menopause	True	Menopause
menstrual clots	True	Menstrual clots
mental	True	Mental
MenuetOS	False	
merillorang	True	Merillorang
Message To Scientology	False	
metacritic	True	Metacritic
metal	True	Metal
metrosexual	True	Metrosexual
Mic Gooflander	False	
Microsoft Comic Chat	False	
midget	True	Midget
Mighty Number 9‎	True	Mighty Number 9
Mike Tyson%27s Punch Out	False	
mike-the-cat	True	Mike-the-cat
mikenatlga	True	Mikenatlga
mikethehuman113	True	Mikethehuman113
Mikey won't add you to your contacts unless you like what he likes	False	
militant	True	Militant
min baro	True	Min baro
Minerva IRC	False	
mini meme	True	Mini meme
minimum wage	True	Minimum wage
Ministry of Lulz	False	
Miranda IM	False	
mIRC	True	MIRC
misleading thumbnail	True	Misleading thumbnail
misoconfused	True	Misoconfused
misogyny	True	Misogyny
Mister Rogers' Neighborhood	False	
mistyeyesxx	True	Mistyeyesxx
misunderstood	True	Misunderstood
mlp/	True	Mlp/
moaned	True	Moaned
moar	True	Moar
Mobile Phone	False	
mockney	True	Mockney
modern technology	True	Modern technology
mold	True	Mold
molest	True	Molest
molests	True	Molests
money	True	Money
money footage	True	Money footage
Monosodium Glutamate	False	
monster	True	Monster
moot	True	Moot
mora	True	Mora
mother	True	Mother
motherfucker	True	Motherfucker
motivator	True	Motivator
mouse poop	True	Mouse poop
mu/	True	Mu/
mugu	True	Mugu
mullet	True	Mullet
mundane	True	Mundane
mung	True	Mung
murder	True	Murder
muscle	True	Muscle
music	True	Music
music video	True	Music video
mutescream	True	Mutescream
mwmiller	True	Mwmiller
my body is ready	True	My body is ready
myg0t	True	Myg0t
n00dz	True	N00dz
nail in the coffin	True	Nail in the coffin
naim	True	Naim
narufag	True	Narufag
national debt	True	National debt
nationalism	True	Nationalism
nationalist	True	Nationalist
nc	True	Nc
neck	True	Neck
neckbeard	True	Neckbeard
necro	True	Necro
nerd	True	Nerd
netiquette	True	Netiquette
netizens	True	Netizens
neurodiversity	True	Neurodiversity
never work	True	Never work
new	True	New
news	True	News
nexopia	True	Nexopia
nigger dicks	True	Nigger dicks
niggerdick	True	Niggerdick
nigra	True	Nigra
Nikkineko333‎	True	Nikkineko333
Ninjas can%27t catch you	False	
nn	True	Nn
no ketchup	True	No ketchup
No offense%2C but...	False	
Nobel Prize for Racism‎	True	Nobel Prize for Racism
nohogirls	True	Nohogirls
noko	True	Noko
non existant	True	Non existant
noone	True	Noone
not a bug	True	Not a bug
not gay	True	Not gay
now	True	Now
nuchan	True	Nuchan
nuke edition	True	Nuke edition
nullcherri	True	Nullcherri
nun	True	Nun
Nurse-kun/Damaged Goods/Chapter 18 (Fake Thread)‎	True	Nurse-kun/Damaged Goods/Chapter 18 (Fake Thread)
nuts	True	Nuts
nuts4butts	True	Nuts4butts
Nyoro%7En	False	
O Noes Her Nanomachines%2111%21%21	False	
obsession	True	Obsession
obvious shit	True	Obvious shit
oclet	True	Oclet
octopus	True	Octopus
ocular rape	True	Ocular rape
oekaki	True	Oekaki
offended	True	Offended
offensive	True	Offensive
ogg	True	Ogg
Oh No You Didn%27t	False	
Oh shit i%27m sorry i meant	False	
oil	True	Oil
old fag	True	Old fag
old media	True	Old media
old meme	True	Old meme
olev	True	Olev
one click	True	One click
onefiftytwo	True	Onefiftytwo
oneoneone	True	Oneoneone
onidifag	True	Onidifag
online quiz	True	Online quiz
only 9000	True	Only 9000
oops	True	Oops
open membership	True	Open membership
open mic	True	Open mic
open relationship	True	Open relationship
Operation GTFO	False	
Operation Titstorm IRL	False	
opinion	True	Opinion
opsec	True	Opsec
oral	True	Oral
orgasm	True	Orgasm
orgy	True	Orgy
original copy	True	Original copy
original fiction	True	Original fiction
original research	True	Original research
orsl	True	Orsl
orz	True	Orz
otaku	True	Otaku
otay	True	Otay
otherkin	True	Otherkin
Over 9%2C000	False	
over 9000	True	Over 9000
overrated	True	Overrated
oxymoron	True	Oxymoron
packetgrinder	True	Packetgrinder
paedoheaven	True	Paedoheaven
pain in the ass	True	Pain in the ass
pandabear	True	Pandabear
panic	True	Panic
pansexual	True	Pansexual
Panty %26 Stocking with Garterbelt	False	
paranoid	True	Paranoid
paranoid schizophrenia	True	Paranoid schizophrenia
parenting	True	Parenting
parents	True	Parents
Party Hat	False	
partyvan	True	Partyvan
password	True	Password
Paul the Psychic Octopus‎	True	Paul the Psychic Octopus
paw	True	Paw
pedo	True	Pedo
pedoTalk	True	PedoTalk
pegging	True	Pegging
pekiti	True	Pekiti
penis envy	True	Penis envy
people	True	People
performance art	True	Performance art
permabanning	True	Permabanning
permanent suspension	True	Permanent suspension
personal army request	True	Personal army request
personal journal	True	Personal journal
pervert	True	Pervert
pet	True	Pet
Peter Griffin	False	
petridish.pw	True	Petridish.pw
Pettan%2C pettan%2C tsurupettan	False	
pFBind	True	PFBind
phat lewt	True	Phat lewt
phish	True	Phish
phobos	True	Phobos
phone sex	True	Phone sex
pie	True	Pie
piggyback	True	Piggyback
pikichu	True	Pikichu
piracy	True	Piracy
pirat ponton	True	Pirat ponton
pirate	True	Pirate
pIRCh	True	PIRCh
piss	True	Piss
piss4400	True	Piss4400
PJIRC	False	
planet	True	Planet
plastic crap	True	Plastic crap
please reply	True	Please reply
pleb	True	Pleb
plethora	True	Plethora
plox	True	Plox
plz	True	Plz
pnaomi	True	Pnaomi
po/	True	Po/
Poe%27s Law	False	
poetry	True	Poetry
Pok%C3%A9puns	False	
pokemontrainer55	True	Pokemontrainer55
pol/	True	Pol/
politics	True	Politics
polygamy	True	Polygamy
ponos	True	Ponos
Pool%27s Closed	False	
Pool%27s Closed/ASCII	False	
poor	True	Poor
popcorn.gif	True	Popcorn.gif
poppadave	True	Poppadave
popufur	True	Popufur
popular	True	Popular
popular belief	True	Popular belief
portmanteau	True	Portmanteau
porzellan	True	Porzellan
Post ending in %28x%29	False	
Post in this thread if %28x%29	False	
potato	True	Potato
power-bottom	True	Power-bottom
ppl	True	Ppl
prank	True	Prank
pre-op	True	Pre-op
pregnant	True	Pregnant
pretty cool guy	True	Pretty cool guy
prison	True	Prison
privilege	True	Privilege
pro-life	True	Pro-life
Problem%3F	False	
problematic	True	Problematic
professor	True	Professor
profile	True	Profile
programming language	True	Programming language
Project Chanology/Clearwater	False	
PROJECT CHANOLOGY/IRL PROTEST PAGE/Operation Reconnect/Orlando, FL	False	
Project Chanology/Orlando	False	
prole	True	Prole
prolly	True	Prolly
proxy	True	Proxy
pseudocide	True	Pseudocide
pseudonym	True	Pseudonym
psytrance	True	Psytrance
puddles	True	Puddles
Pumba Jeffery Larocque‎	True	Pumba Jeffery Larocque
punk	True	Punk
purgatory	True	Purgatory
pussy	True	Pussy
pyro	True	Pyro
q/	True	Q/
qst/	True	Qst/
quantum	True	Quantum
queef	True	Queef
quest	True	Quest
qweerdo	True	Qweerdo
r000t	True	R000t
r000t/r000tlogs	True	R000t/r000tlogs
r0x0rs	True	R0x0rs
r3x	True	R3x
r9k//r9k/	True	R9k//r9k/
race	True	Race
radio	True	Radio
radium	True	Radium
ragequit	True	Ragequit
ragreynolds	True	Ragreynolds
raid	True	Raid
random	True	Random
rap	True	Rap
rapage	True	Rapage
rape	True	Rape
rape victim	True	Rape victim
rape.sh	True	Rape.sh
rat	True	Rat
ratatata	True	Ratatata
ravished	True	Ravished
razor blade	True	Razor blade
rdtheproductions	True	Rdtheproductions
re/b/oot	True	Re/b/oot
reaction.jpg	True	Reaction.jpg
recommendation	True	Recommendation
recovered	True	Recovered
redirect	True	Redirect
redlenses2112/Skype Chat Fail	True	Redlenses2112/Skype Chat Fail
redterrapin	True	Redterrapin
redundant	True	Redundant
reg	True	Reg
rehab	True	Rehab
Reinheitsgebot	False	
religion	True	Religion
religion of peace	True	Religion of peace
rename tokens	True	Rename tokens
representation	True	Representation
respect	True	Respect
restraining order	True	Restraining order
retard	True	Retard
retard-Pokefags	True	Retard-Pokefags
retire	True	Retire
reupload	True	Reupload
revolution	True	Revolution
rice nigger	True	Rice nigger
Richard Burton	False	
right	True	Right
risk	True	Risk
Rob%27s Law	False	
robot	True	Robot
Rocky Balboa	False	
roflcoptor	True	Roflcoptor
rogue security software	True	Rogue security software
rok/i/ts	True	Rok/i/ts
Ron Gilbert	False	
roofie	True	Roofie
rude	True	Rude
rudy101	True	Rudy101
rugby league	True	Rugby league
Ruin Life Tactics	False	
rules	True	Rules
rumor	True	Rumor
Ruxpin exe	False	
s/	True	S/
S%26M	False	
s4s/	True	S4s/
S4s/Board Newspapers‎	True	S4s/Board Newspapers
safeword	True	Safeword
saga kid	True	Saga kid
sage	True	Sage
Sahara The Pedo	False	
salute	True	Salute
same	True	Same
samefag	True	Samefag
sans25a	True	Sans25a
satire	True	Satire
sauce	True	Sauce
save	True	Save
savIRC	True	SavIRC
scandal	True	Scandal
scatological	True	Scatological
scene	True	Scene
school	True	School
sci/	True	Sci/
science	True	Science
scissor	True	Scissor
scooterdude	True	Scooterdude
screamo	True	Screamo
screen name	True	Screen name
screencap	True	Screencap
screencapped	True	Screencapped
screenname	True	Screenname
screw up	True	Screw up
scroll up	True	Scroll up
scrolling marquee	True	Scrolling marquee
ScrollZ	False	
scuzz	True	Scuzz
sdf	True	Sdf
search engine	True	Search engine
secret policy document	True	Secret policy document
self-esteem	True	Self-esteem
self-hatred	True	Self-hatred
self-insert	True	Self-insert
senpai	True	Senpai
sense	True	Sense
sensitive	True	Sensitive
sepia	True	Sepia
serial adder	True	Serial adder
server	True	Server
sex tourism	True	Sex tourism
sexism	True	Sexism
sext	True	Sext
ShadowIRC	False	
shakesphere	True	Shakesphere
sharknado	True	Sharknado
sheep	True	Sheep
shell	True	Shell
shill	True	Shill
shills	True	Shills
shit	True	Shit
shit hole	True	Shit hole
shitcock	True	Shitcock
shitlist	True	Shitlist
shitlord	True	Shitlord
shitpost	True	Shitpost
shitty art	True	Shitty art
shooker	True	Shooker
shopping	True	Shopping
shoujo	True	Shoujo
show everyone online that i did	True	Show everyone online that i did
shtick	True	Shtick
siamese twin	True	Siamese twin
sick fuck	True	Sick fuck
significant other	True	Significant other
silicone	True	Silicone
similar	True	Similar
simulation	True	Simulation
sin	True	Sin
sinderella7	True	Sinderella7
sinks	True	Sinks
sissies	True	Sissies
skanky	True	Skanky
skeet	True	Skeet
skeezer	True	Skeezer
skill	True	Skill
skinhead	True	Skinhead
skratchgirl	True	Skratchgirl
skylark	True	Skylark
Slander%2C Slander Salamander	False	
slash	True	Slash
slashfic	True	Slashfic
sleeping	True	Sleeping
sloth	True	Sloth
slurs	True	Slurs
smegma	True	Smegma
smex	True	Smex
Smile, Devvy	False	
smileys	True	Smileys
smug	True	Smug
smut	True	Smut
Snak	False	
snake	True	Snake
snakesnogger	True	Snakesnogger
snark	True	Snark
snitch	True	Snitch
snuff	True	Snuff
snuff porn	True	Snuff porn
sociology	True	Sociology
soldier	True	Soldier
Solid Snake%27s Ass	False	
son	True	Son
songfic	True	Songfic
Sonic the Comic	False	
sonofss2	True	Sonofss2
sorry	True	Sorry
soulbonding	True	Soulbonding
soulbrothanumbuh3	True	Soulbrothanumbuh3
southerner	True	Southerner
soy	True	Soy
space mermaid	True	Space mermaid
spam	True	Spam
spambot	True	Spambot
Special:AllPages	False	
Special:ListAdmins	False	
Special:ListUsers/sysop	False	
Special:Random	False	
Special:RecentChanges	False	
Special:Search	False	
Special:Upload	False	
spk	True	Spk
spyware	True	Spyware
squee	True	Squee
ssidhu82	True	Ssidhu82
Star Trek‎	True	Star Trek
stare	True	Stare
stat	True	Stat
std's	True	Std's
steak	True	Steak
steamloller	True	Steamloller
steganography	True	Steganography
still young	True	Still young
stoner	True	Stoner
stoofoo	True	Stoofoo
STOP THE PRESSES%21	False	
story	True	Story
strait jacket	True	Strait jacket
strategic exit	True	Strategic exit
street cred	True	Street cred
strike team	True	Strike team
stripper	True	Stripper
strong	True	Strong
student	True	Student
stuff	True	Stuff
stupid	True	Stupid
stupid cows	True	Stupid cows
subtext	True	Subtext
success	True	Success
suck	True	Suck
suck up	True	Suck up
sucky sucky 5 dollar	True	Sucky sucky 5 dollar
Sugar We%27re Going Down	False	
suicide	True	Suicide
suit	True	Suit
Sunkist Carmen‎	True	Sunkist Carmen
sushi	True	Sushi
swag	True	Swag
swastika	True	Swastika
switch	True	Switch
Sylver %26 caleb	False	
synthetikmisery	True	Synthetikmisery
taa	True	Taa
tabloid	True	Tabloid
taint	True	Taint
Taken by the T-Rex	False	
takumi	True	Takumi
talentless	True	Talentless
talk page	True	Talk page
talking head	True	Talking head
TalkSoup	False	
tank	True	Tank
TAP LADEDANS FISTON%21	False	
Tara the High Elf	False	
tard	True	Tard
tattoo	True	Tattoo
teacher	True	Teacher
teaching	True	Teaching
teamdouche	True	Teamdouche
teamnoir	True	Teamnoir
teeth	True	Teeth
teh	True	Teh
televangelist	True	Televangelist
televised	True	Televised
Template:2000goatse	False	
Template:Articleexhibits	False	
Template:GamerGate	False	
Template:Yourgay	False	
ten bux	True	Ten bux
teranoid	True	Teranoid
terrible	True	Terrible
text-adventure	True	Text-adventure
tfiles	True	Tfiles
tg/	True	Tg/
th3j35t3r	True	Th3j35t3r
tha w3rm	True	Tha w3rm
that annoying frozen fantard whose name I cant remember	True	That annoying frozen fantard whose name I cant remember
That One	False	
that rustled my jimmies	True	That rustled my jimmies
That%27s not funny%2C my brother died that way	False	
Thats not funny%2C my brother died that way	False	
The Arguecat Weightloss Challenge‎	True	The Arguecat Weightloss Challenge
the black cloud	True	The black cloud
the children in Africa	True	The children in Africa
the general public	True	The general public
the Google{{!}}teh Google	False	
The Great Egyptian Riot of 2011‎	True	The Great Egyptian Riot of 2011
the jungle	True	The jungle
The Last Of Us	False	
The my opinion card	False	
THE NEW HOVEROUND TESTAMENT%2C BOOK OF CADNOCAT	False	
theb0lt	True	Theb0lt
thekosher	True	Thekosher
them	True	Them
themoonfell	True	Themoonfell
themysticenigma	True	Themysticenigma
theology	True	Theology
there are no women on the internet	True	There are no women on the internet
thesmit	True	Thesmit
thewinekone	True	Thewinekone
they	True	They
They see me rollin%27	False	
thick	True	Thick
This is why we can%27t have nice things	False	
thong	True	Thong
thread	True	Thread
throwaway	True	Throwaway
tiabliaj	True	Tiabliaj
tilde	True	Tilde
time	True	Time
timecop	True	Timecop
tiny balloon dick	True	Tiny balloon dick
TinyIRC	False	
tits	True	Tits
Tl%3Bdr	False	
Tl%3Bdw	False	
tmbg37	True	Tmbg37
TMTAE	False	
toilet	True	Toilet
tolerance	True	Tolerance
Too old%3B DO NOT WANT%21	False	
toolman	True	Toolman
tools	True	Tools
Top lel‎	True	Top lel
torture	True	Torture
Tosh%27s Law	False	
totally original	True	Totally original
tots	True	Tots
toukan	True	Toukan
ToyBOX	False	
trailor trash	True	Trailor trash
trainwreck	True	Trainwreck
Transhumanist Pedophile	False	
transvestite	True	Transvestite
trap	True	Trap
trapchan	True	Trapchan
trash	True	Trash
trending	True	Trending
trigger	True	Trigger
Trillian (chat client)	False	
troll	True	Troll
troll group	True	Troll group
Troll%27s remorse	False	
true facts	True	True facts
true love	True	True love
Trying to hard	False	
turn on	True	Turn on
tv/	True	Tv/
tweeker	True	Tweeker
Twilight Sky	False	
twit	True	Twit
two girls and a boy	True	Two girls and a boy
typo	True	Typo
tyrant	True	Tyrant
uber	True	Uber
Ubuntu 10.04	False	
ugly	True	Ugly
Ulrichthehedgehog‎	True	Ulrichthehedgehog
Umami	False	
un popular	True	Un popular
unbaleeted	True	Unbaleeted
unblock	True	Unblock
underscore	True	Underscore
unfriend	True	Unfriend
unfunny	True	Unfunny
uninteresting	True	Uninteresting
UNITI%D0%98U	False	
Unix-like	False	
unlimited disposable income	True	Unlimited disposable income
unrealistic expectation	True	Unrealistic expectation
unrelated	True	Unrelated
unstable	True	Unstable
ur	True	Ur
Usenet Death Penalty	False	
user-generated content	True	User-generated content
User:33mhz	False	
User:An0n/Hackforums.net	False	
User:Bambi Louu/firegoron	False	
User:Bastardman	False	
User:Benboyce/P Money	False	
User:ChrisH/Celine Dion	False	
User:DocEvil	False	
User:DoomKnight/Tiny Toons Adventures	False	
User:Efrey/MasterChan	False	
User:Hipcrime/Hipcrime Appreciation Station	False	
User:Hipcrime/The 1000 Titles of Hipcrime	False	
User:Jakesofresh/Counter troll	False	
User:JesuitX	False	
User:Kashiwaba Tomoe	False	
User:LeftClicker/Verynicelady	False	
User:Likeicare	False	
User:LiteralKa	False	
User:Lmte	False	
User:Mantequilla	False	
User:Mu.ollin/Succubus	False	
User:Nachash/Pink Meth	False	
User:Oddguy	False	
User:PBF	False	
User:Seisatsu	False	
User:Smokey/10fags	False	
User:Smokey/1up.com	False	
User:Smokey/Columbus	False	
User:Snaisybelle	False	
User:T/CHILDPROTECT	False	
User:Հայ/Alzheimers	False	
userinfo	True	Userinfo
username	True	Username
usher	True	Usher
uTorrent	True	UTorrent
V%26	False	
vaginal	True	Vaginal
vaginal warrior	True	Vaginal warrior
vampire	True	Vampire
vanity search	True	Vanity search
verified	True	Verified
vfallenangelv	True	Vfallenangelv
VIDEO DELETED	False	
vinnyvim	True	Vinnyvim
vinyl	True	Vinyl
violence	True	Violence
viperhor	True	Viperhor
ViRC	False	
Virca	False	
virgin	True	Virgin
virus	True	Virus
Vision	False	
visionary	True	Visionary
vital article	True	Vital article
vomit	True	Vomit
voodoo	True	Voodoo
voted off the island	True	Voted off the island
vp/	True	Vp/
vulva	True	Vulva
w00t	True	W00t
w0rmer	True	W0rmer
waffles	True	Waffles
wallpaper	True	Wallpaper
wank	True	Wank
war	True	War
warden-warden	True	Warden-warden
warez	True	Warez
was	True	Was
was fired	True	Was fired
water boarding	True	Water boarding
watermark	True	Watermark
WE%27RE GOING BACK TO POTATOS TO GET MY FUCKING POWER WRIST	False	
weak sauce	True	Weak sauce
web hosts	True	Web hosts
web traffic	True	Web traffic
webcam	True	Webcam
webcomic	True	Webcomic
websense	True	Websense
website	True	Website
weev quotes	True	Weev quotes
weev/Lyrics	True	Weev/Lyrics
wehogirls	True	Wehogirls
weight	True	Weight
welfare	True	Welfare
welfare checks	True	Welfare checks
welp	True	Welp
wench	True	Wench
Wesley%21%21%21	False	
what does he have against furries?	True	What does he have against furries?
What is a man%3F	False	
What is Love%3F	False	
what to do when your family disowns you	True	What to do when your family disowns you
whatever	True	Whatever
whatevertrevor	True	Whatevertrevor
whatisthematrix77	True	Whatisthematrix77
Where do you want to go today%3F	False	
Where is your X now%3F	False	
whiney	True	Whiney
white trash	True	White trash
whiteguys fartinmyface	True	Whiteguys fartinmyface
whitewashing	True	Whitewashing
wholesome family environment	True	Wholesome family environment
whore	True	Whore
whore before	True	Whore before
Why do you hate America%3F	False	
Why So Serious%3F	False	
wigger	True	Wigger
wiki	True	Wiki
wikibreak	True	Wikibreak
wikicide	True	Wikicide
William Atchison‎‎	True	William Atchison
wiminz	True	Wiminz
winrar	True	Winrar
wishlist	True	Wishlist
wizards	True	Wizards
WLIRc	False	
wolf	True	Wolf
wolfaboo	True	Wolfaboo
Women%27s space	False	
wordfilter	True	Wordfilter
wpcomment.sh	True	Wpcomment.sh
wrgh	True	Wrgh
wtfuazrp	True	Wtfuazrp
wtp	True	Wtp
www.yahoo.com	True	Www.yahoo.com
wwwarea	True	Wwwarea
X-Chat	False	
X-Chat Aqua	False	
x/	True	X/
X%3F In My Y%3F	False	
xChan Directory Dumper	True	XChan Directory Dumper
XiRCON	False	
xkcd	True	Xkcd
xLittle-Miss-Horrorx	True	XLittle-Miss-Horrorx
xtex	True	Xtex
xXAshBiohazardXx	True	XXAshBiohazardXx
Y%21Gallery	False	
Y%27all niggas	False	
yaoi	True	Yaoi
yiff	True	Yiff
yosemite sam	True	Yosemite sam
you	True	You
You don%27t have any friends	False	
You Fucking Bastard	False	
You Laugh%2C You Lose	False	
YOU%27RE A BIRD%21	False	
YOU%27RE DOING IT WRONG	False	
young men	True	Young men
Your resistance only makes my penis harder%21	False	
your user space/your article name	True	Your user space/your article name
YouTube Smackdown	False	
zb	True	Zb
zebra	True	Zebra
zeekill	True	Zeekill
zhzhblyad	True	Zhzhblyad
Zircon (chat client)	False	
zitellu	True	Zitellu
Клубняк	False	
Слоупок	False	
сосач	True	Сосач
